contradiction,t,h
NO,"Tampa-based Odyssey Marine Exploration, which was poised this spring to start archaeological and treasure recovery work on what it believes to be the more than 300-year-old shipwreck, has put the project on hold after last-minute objections from Andalusia.",Shipwreck salvaging was not attempted.
NO,"Aki Kaurismaki's 'Juha', from Finland, screens at the San Francisco International Film Festival.",Aki Kaurismaki did not direct a film.
NO,The shrinking cost of using virtual reality for training is another boon.,Soldiers are not trained using virtual reality.
NO,"Because Microsoft's near-monopoly status itself magnifies security risk, it is essential that society become less dependent on a single operating system from a single vendor if our critical infrastructure is not to be disrupted in a single blow.",Microsoft does not hold a monopoly power.
NO,"Then, as society grew more complex and so the services available, societies outsourced or bought services from neighboring societies and finally as communication grew, from far off societies.",Jobs were not outsourced to India.
NO,Microsoft denies that it holds a monopoly.,Microsoft does not hold a monopoly power.
NO,"Simply put, our indigenous cultures and arts are vanishing fast and the cultural diversity here is greatly threatened.",Indigenous folk art is not preserved.
NO,"In British service centres 80% of the workforce is female and many are part-time, but in India it is split 50:50 male and female.",Jobs were not outsourced to India.
NO,Yet there is no evidence that he ever attempted to salvage the Captain Lawrence in the years after the wreck.,Shipwreck salvaging was not attempted.
NO,The biodiversity of the rainforest is affected.,Destruction of the rainforest did not affect the world's weather.
NO,The average wage gap between men and women varies from 10 to 30% while women in the informal sector earn on average 25% less than men with equal age and education levels.,The gap in political power between the sexes is not very wide.
NO,"If anyone tells you that Genetic Modification is going to feed the world, tell them that it is not. To feed the world takes political and financial will - it's not about production and distribution.",Genetic Modification technology will never provide a solution to world hunger.
NO,"Until the 1970s, there was also an important gap between the electoral participation of women and men in France.",The gap in political power between the sexes is not very wide.
NO,"Here's why I say Microsoft holds no monopoly: monopolies imply exclusivity. More than 80 percent of the world's computers run Microsoft operating systems, mostly Windows 3.x and DOS. But these two operating systems are uniquely interchangeable with competitive offerings.",Microsoft does not hold a monopoly power.
NO,"These depletions, which take place over a 50-kilometer squared area, are caused by weather patterns in the upper troposphere.",Depletion of the rainforest has not affected the world's weather.
NO,A hunger strike is a method of non-violent resistance in which participants fast as an act of political protest or to achieve a goal such as a policy change.,A hunger strike was not attempted.
NO,"Ninety eight people were wounded, two of them seriously. Most of them were wounded in the panic that ensued, Egyptian Health Minister Dr. Mohammed Taj al-Din told Egyptian television.",People were not killed in a collision between ships.
YES,"Soon after the EZLN had returned to Chiapas, Congress approved a different version of the COCOPA Law, which did not include the autonomy clauses, claiming they were in contradiction with some constitutional rights (private property and secret voting); this was seen as a betrayal by the EZLN and other political groups.",EZLN is not a political group.
YES,"A Chilean expert points out that the 1987 Montreal Protocol has not been effective in arresting the destruction of the ozone layer in the earth's atmosphere, resulting in the unprecedented size of the ozone hole this year, and causing 120,000 people in Chile to be on yellow alert for ultraviolet radiation (meaning a fair-skinned person would get burnt within 10 minutes of being exposed to the sun).",The ozone layer is not in the earth's atmosphere.
YES,"This is good news for Gaelic translators, as the EU will have to churn out official documents in this language, in addition to the 20 other official EU languages.",There are no 21 official EU languages.
YES,"North Korea opened relations with 10 other countries this year: Belgium, Brazil, Canada, Germany, Greece, Kuwait, Luxembourg, the Netherlands, New Zealand and Spain.",Spain and Korea did not start ambassadorial relations this year.
YES,"Emiliano Zapata, hero of the 1910 social revolution, led a ""peasant army"" based in the Cuautla valley 70 miles south of Mexico City.",Emiliano Zapata was not a military leader.
YES,"But the very first flush toilet was invented by Sir John Harrington in the 16th century for Queen Elizabeth in her palace at Richmond, Surrey.",The first flush toilet was not invented in the 16th century.
YES,"Kenneth Branagh talks about his epic, uncut version of 'Hamlet'. Kenneth Branagh has directed several celebrated film adaptations of Shakespeare's plays, but none has reached the heights of his recent 'Hamlet'.",'Hamlet' was not directed by Kenneth Branagh.
YES,"Giulio Andreotti, Italy's foremost elder statesman, has survived many political crises during his controversial career.",Giulio Andreotti is not Italy's foremost elder statesman.
YES,"Labour Minister Roberto Maroni denounced what he called an ""ideological"" protest but former European Commission chief Romano Prodi who is leading the opposition to Berlusconi, said: ""Today's general strike is a protest at the disastrous economic and financial policies of the Italian government"".",Romano Prodi is not the leader of the opposition to Berlusconi.
YES,The coalition drafted the principles below - originally dubbed the Valdez principles - to guide businesses on their individual path to environmental sustainability.,The Valdez Principles are principles which do not guide businesses on their individual path to environmental sustainability.
YES,The European Commission through its President Mr. Romano Prodi was among the first to welcome this step and to express support for the interim government's efforts to lead the country on the path to development and democracy.,Romano Prodi is not the President of the European Commission.
YES,"The process was one of mutual consent between Russia and the West, according to Andrei Kozyrev, who was the Soviet foreign minister at the time of the failed coup by Communist hardliners and the creation of a democratic government.",Andrei Kozyrev was never the Soviet foreign minister.
YES,"The world will never forget the epic flight of Charles Lindbergh across the Atlantic from New York to Paris in May 1927, a feat still regarded as one of the greatest in aviation history.",Lindbergh did not begin his flight from New York in 1927.
YES,"The Cuban missile crisis began on April 17th, 1961, with the ""Bay of Pigs"" invasion, which was sponsored by the John F. Kennedy Administration.","The Bay of Pigs invasion did not take place on April 17th, 1961."
YES,"The birthplace of the Olympic games, Greece, has been struggling for more than a decade to secure the games. It was a great disappointment to the Greeks and many Europeans that the Coca Cola company used its considerable influence to have the games in Atlanta in 1996 on the 100th anniversary.",The Olympic Games did not take place in Atlanta in 1996.
YES,"For sailors, the lighthouse of Alexandria ensured a safe return to the Great Harbor; for architects, it was the tallest building on Earth; and for scientists, it was the mysterious mirror that fascinated them most: its reflection could be seen more than 50 km (35 miles) off-shore. For all these reasons, the lighthouse was considered one of the Seven Wonders of the world.",The lighthouse of Alexandria was none of the seven wonders of the world.
YES,"The first union between Sweden and Norway occurred in 1319 when the three-year-old Magnus, son of the Swedish royal Duke Eric and of the Norwegian princess Ingeborg, inherited the throne of Norway from his grandfather, Haakon V, and in the same year was elected King of Sweden, by the Convention of Oslo.",Magnus was not a king of Norway.
YES,El Nino usually begins in December and lasts a few months.,El Nino do not usually start in December.
YES,The EZLN differs from most revolutionary groups by having stopped military action after the initial uprising in the first two weeks of 1994.,EZLN is not a revolutionary group.
YES,"Interestingly, the fruit that best dried naturally on the tree, and that was pleasant eating, also has astonishingly high levels of vitamin C. This is the jujube fruit, Zizyphus jujuba, whose center of diversity is thought to be in the Eastern Mediterranean, around Syria.",Jujube fruit does not contain vitamin C.
YES,The Eiffel Tower was built in 1889 for the Universal Exposition as a monument to the scientific achievements of the 18th century.,The Eiffel Tower was not built in 1889.
YES,Eurostat's task is to provide the European Union with statistics that enable comparisons between countries and regions.,Eurostat does not provide the EU with statistics.
YES,The destruction of the ozone layer was first noticed in the late 1980s as a hole over Antarctica.,The ozone hole was not first noticed in the late 1980s.
YES,"Shiva, Vishnu, and Brahma are the major gods of Hinduism, and their functions are often interchangeable.",Brahma is not one of the major gods of Hinduism.
YES,There are currently eleven (11) official languages (EU languages) of the European Union in number.,There are not 11 official EU languages.
YES,"During the 1996 Atlanta Olympic Games, 85 misting fans were placed at shaded recovery areas throughout various phases of the equestrian courses to allow these elite athletes to stabilize and lower their body temperatures.",The Olympic Games did not take place in Atlanta in 1996.
YES,"This is a Hindu temple dedicated to the Lord Shiva, one of 3 major Gods of Hinduism.",Lord Shiva is not one of the major Gods of Hinduism.
YES,Andrei Kozyrev became Russian foreign minister in 1990 when it was by no means obvious that it was advantageous for him to accept the appointment.,Andrei Kozyrev was never Russian foreign minister.
YES,"Pisa, an ancient Roman port and great maritime republic, is no longer on the sea but its splendid past lives within its abundant historic and artistic monuments: narrow streets that open into picturesque little squares with multicoloured markets; the charming Piazza dei Cavalieri and Piazza dei Miracoli, one of the most famous monumental complexes in the world.",Piazza dei Miracoli is not located in Pisa.
YES,The International Olympic Committee (IOC) manages broadcast partnerships and the TOP worldwide sponsorship programme.,The IOC is not the International Olympic Committee.
YES,"The Ulysses spacecraft, launched on October 6, 1990, is a joint solar mission of NASA and the European Space Agency.","The Ulysses spacecraft was not launched on October 6, 1990."
YES,"With Linnaeus as professor, a period in Uppsala began where nature science was much esteemed.",Linnaeus was not a professor in Uppsala.
YES,"For the Atlanta Olympic Games in 1996, the competition was a one-day event in which 32 men who qualified via pre-Olympic competitions participated.",The Olympic Games did not take place in Atlanta in 1996.
YES,Tom Jennings is a board certified ophthalmologist.,Tom Jennings is not an ophthalmologist.
YES,"Hebron, located south of Jerusalem in the Judean hills, is home to approximately 120,000 Arabs, 500 Jews, and three Christians.",Hebron is not located in the Judean hills.
YES,"On June 30, 1908, in Siberia the greatest meteorite fall in historic times occurred.",A meteorite never fell in Siberia in 1908.
YES,De Klerk was Deputy President of South Africa during the presidency of Nelson Mandela until 1996.,Nelson Mandela was never President of South Africa.
YES,"President Vicente Fox heads into his final year of office Thursday, promising a more democratic, less corrupt and economically stable Mexico.",Vicente Fox is not the President of Mexico.
YES,Thanks to Frenchman Baron Pierre de Coubertin the first modern Olympics Games took place in Athens in 1896.,The Olympics Games never took place in Athens in 1896.
YES,"Early last month, reform candidate Vicente Fox stunned Mexico and the world by winning the presidency of his country. Promising economic and political change, the former Coca-Cola executive and his National Action Party ousted the Institutional Revolutionary Party, or PRI, that had ruled Mexico for 71 years.",Vicente Fox did not win the presidency of Mexico.
YES,The party line is that it is working within the system to achieve its goals and this is reflected in the government post currently held by Umberto Bossi (Minister for Reform).,Umberto Bossi is not the Minister for Reform.
YES,By far the greatest proportion of the operational efforts of NATO and the Western European Union (WEU) have already shifted away from collective defense toward this type of activity.,The WEU is not the Western European Union.
YES,"But for all its ominous rhetoric, and a board of directors that looks as if it could become the first cabinet of the United States of Earth (including several former senior World Bank and IMF directors; Jacques Delors, the Frenchman who was the officious president of the European Commission from 1985 to 1995; population control experts and, of course, Maurice Strong, the former advisor to Lester Pearson and Pierre Trudeau, who was the first president of Petro-Canada), what the CGG and most in civil society are seeking is a realization of the high-modern, one-world, one-family-of-Man dream.",Jacques Delors was not President of the European Commission from 1985 to 1995.
YES,"The largest of these is the Lombard League, which was founded by Umberto Bossi in 1984.",Umberto Bossi is not the founder of the Lombard League.
YES,"Formerly the Valdez Principles, the CERES Principles for environmentally sound business practices were drafted by the Coalition for Environmentally Responsible Economies.",The Valdez Principles are not principles for environmentally sound business practices.
YES,"Sometimes when the moon is close to the horizon the atmosphere causes the moon to look orange-red in color, or clouds or smoke can darken the moon.",The moon turns orange because when it is not close to the horizon the atmosphere causes the moon to look orange-red in color.
YES,"The Philippines is one of the major crossroads in the eastern hemisphere, as it's home to over 100 ethnic groups and hundreds of language dialects.",The Philippines is not in the eastern hemisphere.
YES,CERN has now grown to include 20 member states and enjoys the active participation of many other countries world-wide.,CERN does not have 20 member states.
YES,"American manufacturers contend that China's decade-long practice of keeping its currency valued at around 8.28 yuan to the dollar, has resulted in the Chinese currency being undervalued by as much as 40 percent, giving the Chinese a huge competitive advantage.",The currency used in China is not the yuan.
YES,"On September 5, 1997, Athens was selected as the host city of the 2004 Olympic Games. The games took place in Greece from August 13 - 29 in 2004.",The Olympic Games were not held in Athens in 2004.
YES,"Launched in 1990 and still going strong, Ulysses is the first spacecraft ever to pass over the polar regions of the Sun.",The Ulysses spacecraft was not launched in 1990.
YES,Nixon was impeached and became the first president ever to resign on August 9th 1974.,Nixon was the first president to never resign.
YES,"Umberto Bossi, leader of the Northern League, said Brussels was ""transforming vices into virtues"" and ""advancing the cause of atheism every day"".",Umberto Bossi is not the leader of the Northern League.
YES,"Once you have your rental car or motorcycle, take off, ride around the Trodos mountains, or get lost on a desolate Mediterranean highway. Nicosia - AKA Lefkosia. This is the capital of Cyprus and is located in the center of the country.",The capital of Cyprus is not Nicosia.
YES,"In Rwanda there were on average 8,000 victims per day for about 100 days.","There never were 800,000 victims of the massacres in Rwanda."
YES,Leo Fender invented the first electric guitar and the electric bass guitar.,Leo Fender did not invent the first electric guitar.
YES,"The head of the Italian opposition, Romano Prodi, was the last president of the European Commission.",Romano Prodi is not a former president of the European Commission.
YES,"Yoko Ono Lennon (born February 18, 1933 in Tokyo, Japan) is a Japanese-born American musician and artist. She currently resides in New York City.",Yoko Ono is not an artist.
YES,"In the past decade, El Nino has been more frequent in Alaska, noticed especially in Juneau. Between the 1950s and 1970s, El Nino usually occurred once every 8-10 years. But in the past ten years, El Nino has become more frequent, occurring every 3-5 years.",El Nino never occurs every 3-5 years.
YES,"Belize is located between the Hondo and Sarstoon Rivers , with the Belize River flowing down in the centre of the country.",Belize is not located between the Hondo and Sarstoon Rivers.
YES,"One of them is the 1908 Tunguska event in Siberia, known as the Tunguska meteorite fall.",A meteorite did not fall in Tunguska in Siberia in 1908.
YES,"Because Redgrave's clamorous political opinions have intruded on her professional life over the last several decades, and, as Winer recounted in her May 11 column, some cultural producers took it upon themselves to decide that (Redgrave's) outspoken support of the Palestine Liberation Organization made her unsuited for employment in this country.",Redgrave does not support the Palestine Liberation Organization.
YES,"The Macintosh , commonly called the Mac for short, is a line of personal computers designed, developed, manufactured and marketed by Apple Computer, running the Macintosh operating system.",Apple Computer never developed the Macintosh computer.
YES,Russian cosmonauts Vladimir Dezhurov and Mikhail Tyurin are preparing for a space walk.,Vladimir Dezhurov is not a Russian cosmonaut.
YES,"In the Superman canon, White is the editor of the Daily Planet, the newspaper where the Man of Steel's alter ego, Clark Kent, works as a mild-mannered reporter.",Clark Kent does not work for the Daily Planet newspaper.
YES,"De Klerk ran a largely ceremonial and uncompetitive South-African presidential campaign against Mandela, in which Mandela was soundly elected.",Nelson Mandela never was President of South Africa.
YES,"The continuity in Slovenian politics is striking: Drnovek became Prime Minister in 1992, and won a second term in 1996; he was in opposition for six-months in mid-2000, but again returned to the post after his coalition won October elections.",Drnovek did not become Prime Minister of Slovenia in 1992.
YES,"Revolutionary Zapata is the rebel leader who said ""It is better to die on your feet than to live on your knees.""",Zapata was no rebel leader.
YES,"De Klerk is best known for agreeing to end apartheid , and he shared the Nobel Peace Prize with Nelson Mandela in 1993 for his role in the ending of apartheid.",Nelson Mandela is not a Nobel Peace Prize winner.
YES,"When the old Belgian Congo became the Republic of Congo, Belgians fled, transported by SABENA. This was the end of the impressive regional network of routes and airports in Congo that the airline had built up since 1924.",SABENA is not an airline.
YES,The first Barbie doll was sold for $3.,The first Barbie did not cost 3 dollars.
YES,"His alter ego Clark Kent works for newspaper company The Daily Planet and is partnered with uptight, work obsessed, sexy and talented Lois Lane.",Clark Kent does not work for the Daily Planet newspaper.
YES,"U.S. Attorney Kenneth L. Wainstein of the District of Columbia announced, today, that a second member of the Colombian terrorist group FARC (Revolutionary Armed Forces of Colombia) has been indicted on charges of attempted murder and use of weapons of mass destruction for a November 2003 grenade attack aimed at Americans in Colombia.",The FARC is not a Colombian terrorist group.
YES,The failure of the Bay of Pigs invasion in 1961 seriously embarrassed the Kennedy administration.,The Bay of Pigs invasion never took place in 1961.
YES,"The Grandpa of Internet Explorer was a web browser called Mosaic, which first began development at the National Center for Super Computing Applications (NCSA) back in 1987.",The National Center for Super Computing Applications did not create the internet browser Mosaic.
YES,"Hebron, located in south-central Licking County, is home to about 2,200 residents.",Hebron is not located in Licking County.
YES,"The Mafia murdered European Parliament deputy Salvo Lima last March because he stopped protecting their interests after years of collusion, according to a magistrate's report Wednesday.",The Mafia did not murder Salvo Lima.
YES,"Meanwhile, in Ramallah the High Representative for the CFSP, Javier Solana, and the EU's special envoy to the Middle East, Miguel Angel Moratinus, have met with the President of the Palestinian National Authority, Yasser Arafat and undertaken to continue working with Russia, the UN and the US to re-launch the political dialogue and achieve an end to the conflict.",Javier Solana is not the High Representative for the CFSP.
YES,In 1900 Berlin's arterial roads ran across Potsdam Square - Potsdamer Platz.,Postdam Square is not located in Berlin.
YES,"In 1994 the country held its first democratic elections and, during the last decade, the African National Congress (ANC) has transformed from a struggling organisation to the governing political party of the country.",The ANC is not the African National Congress.
YES,"The Council of Europe has 45 member states. Three countries from outside Europe (Canada, Israel and Mexico) have observer status in the Parliamentary Assembly.",The Council of Europe is not made up by 45 member states.
YES,"Up until the 1992 Olympic Games (Barcelona and Albertville), the Organising Committees for the Olympic Games (OCOGs) could integrate demonstration sports into the Olympic programme.",Barcelona and Albertville did not host the 1992 Olympic Games.
YES,"In the mid-1960s, the Revolutionary Armed Forces of Colombia (FARC) arose as a peasant movement demanding land redistribution and social reform.",The FARC is not the Revolutionary Armed Forces of Colombia.
YES,"With the goal of establishing a common currency for all member countries of the European Union (EU), the European Monetary Union (EMU) was founded in 1999.",The European Monetary Union did not begin in 1999.
YES,"That accident gave our idea greater urgency and its first name, the Valdez Principles was later changed to the CERES Principles.",The valdez Principles are not the CERES Principles.
YES,El Nino events usually begin early in the year (between January and March) and often peak during the month of December.,El Nino does not usually start between January and March.
YES,"The Zapatista Army of National Liberation (Ejercito Zapatista de Liberacion Nacional, EZLN ) is an armed revolutionary group based in Chiapas, one of the poorest states of Mexico.",EZLN is not an armed revolutionary group based in Chiapas.
YES,"From its original 12 member states, CERN has now grown to 20, including a number of countries (Bulgaria, Hungary, the Czech and Slovak republics, and Poland) of the new Europe.",CERN does not have 20 member states.
YES,"In the 1820's, the first flush toilet was invented by Albert Giblin, acting as a forerunner to today's modern loo.",The first flush toilet was not invented in the 1820's.
YES,There are 360 million European citizens in 15 member states and yet we cannot find just 20 men and women with the relevant professional competence and work experience to be commissioners.,There are not 360 million European citizens.
YES,"Javier Solana, the Spanish Marxist who serves as NATO's secretary- general, warned that NATO troops ""will not hesitate to take necessary measures, including the use of force, against media networks or programs inciting attacks.""",Javier Solana is not NATO's secretary general.
YES,The Aland Islands belong to Finland and they are situated between Finland and Sweden.,Aland Islands do not belong to Finland.
YES,We at Funai Pty Ltd. are also a small business that has been through the same IT pains as you're probably going through.,The Funai is not a small business.
YES,"The Zulu are an African ethnic group of about 11 million people who live mainly in KwaZulu-Natal Province, South Africa.",The Zulus do not live in Kwazulu-Natal Province.
YES,"Toyota Ireland, through its Eurocare programme, provides owners of both new and up to 3 year old Toyota models with the peace of mind of a comprehensive roadside assistance service.",Eurocare is not a programme of roadside assistance service.
YES,Brandenburg Gate is one of Berlin's best known landmarks and is now regarded as one of the greatest symbols of German unity.,Brandenburg Gate is not in Berlin.
YES,The first flush toilet or water-closet was invented by Sir John Harrington in 1596.,The first flush toilet was not invented in 1596.
YES,"Only three buildings were wrapped by Christo: The Kunsthalle Berne, 1968, The Museum of Contemporary Art, Chicago, 1969 and The Wrapped Reichstag, Berlin, 1995, which is the third and last wrapped building -- it was initiated in 1961 first and then again in 1971. In 1971 the Valley Curtain was already well underway, and was not a wrapping.","The Museum of Contemporary Art, Chicago, was never wrapped by Christo."
YES,"The FARC is an 18,000-strong guerrilla force that controls large territories in Colombia. Its demands revolve around issues of social welfare, economic development, agrarian and judiciary reform and reorganization of the military.",The FARC is not a guerrilla force.
YES,Genghis Khan died in 1227 and two years later his son Ogodei was proclaimed Great Khan.,Genghis Khan did not die in 1227.
YES,The news comes as doctors in Hong Kong warned that people who survive Sars may suffer permanent lung damage and may suffer a relapse.,Those who recovered from Sars will not have permanent lung damage.
YES,"Arizona has won 38 straight against the Cougars, who have not earned a victory in the series since a 65-63 overtime triumph at Pullman on January 30, 1986.","The Cougars have won in the series since a 65-63 overtime triumph on January 30, 1986."
YES,"The 73-year-old Rather, whose 24 years as anchor is the longest tenure in the most coveted position in broadcast news, will remain as a correspondent for ""60 Minutes"" and will handle other assignments.",Rather has not served the longest tenure at the helm of network broadcast.
YES,"Named for the Inuit goddess who created the sea creatures of the Arctic, Sedna lies more than three times farther from the sun than Pluto.",The object has not been named Sedna after the Inuit goddess credited with creating the sea creatures of the Arctic.
YES,"The Genesis space capsule and its precious cargo, billions of particles from the sun, crashed into the Utah desert Wednesday in a last-minute bungling of a near-flawless, three-year scientific odyssey.",The Genesis capsule did not plunge into the ground.
YES,"Curt Schilling worked six innings of four-hit ball and Bellhorn added two RBI, as Sox grabbed a two-games-to-none lead in the 2004 World Series with a 6-2 victory over the St. Louis Cardinals.",The Red Sox did not lead the World Series two games to none after a 6-2 victory.
YES,"Ukraine's election commission declared the Kremlin-backed prime minister, Viktor Yanukovych, the winner of the country's bitterly disputed presidential election, sharpening a crisis sparked by the opposition candidate's allegations that the vote was fraudulent.",Election officials did not declare Prime Minister Viktor Yanukovych the winner.
YES,"For the year, the Dow rose 3 percent, while the S&P 500 index added 9 percent.","For the year, the Dow did not gain 3 percent, the S&P rose 9 percent."
YES,"Joachim Johansson held off a dramatic fightback from defending champion Andy Roddick, to reach the semi-finals of the US Open on Thursday night.",Defending champion Andy Roddick did not take on Joachim Johansson.
YES,The holy Shiite city south of Baghdad was ravaged by fighting Thursday and Friday between American forces and radical cleric Muqtada al-Sadr's Mahdi Army militia that left scores dead.,Al-Sadr's Mehdi Army militia and U.S. forces have never been fighting.
YES,"Long-distance telephone company MCI Inc. on Friday touted its $6.75 billion deal to be bought by Verizon Communications Inc., but said it would thoroughly analyze a revised $8 billion bid by Qwest Communications International Inc.",MCI said it would not thoroughly review the Qwest offer.
YES,The BBC has apologised for incorrectly broadcasting figures which suggested more Iraqi civilians had been killed by coalition and Iraqi forces than by insurgents.,The BBC did not apologise over Iraqi figures.
YES,"California's Supreme Court has rejected a request from the state's attorney general to stop gay weddings and declare invalid over 3,400 same-sex marriages.",California's Attorney General did not asked the state Supreme Court to halt any further gay marriages.
YES,"About 1.75 million Palestinians are eligible to cast ballots in the election tomorrow to replace Palestinian Authority President Yasser Arafat, the president of the Palestinian Authority who died Nov. 11.",Palestinians are not eligible to vote.
YES,The fourth quarter's performance was weaker than the 3.5% growth rate some economists were predicting and was the slowest since the beginning of 2003.,The fourth quarter's performance was not weaker than the growth rate economists were predicting.
YES,"That was up from 3 percent in 2003 and marked the best showing since 1999, when the economy grew by 4.5 percent.","That was not up from 3% in 2003 and marked the best showing since 1999, when the growth was 4.5%."
YES,Insurgents in Iraq killed five U.S. soldiers and attacked polling centers Friday in persistent violence ahead of Sunday's elections.,Insurgents have never attacked US troops and polling stations.
YES,"In one of the latest attacks, a US soldier on patrol was killed by a single shot from a sniper in northern Baghdad, the military said yesterday.",A sniper did not kill a U.S. soldier on patrol in Baghdad with a single shot.
YES,"The Bills now appear ready to hand the reins over to one of their two-top picks from a year ago in quarterback J.P. Losman, who missed most of last season with a broken leg.",The Bills does not plan to give the starting job to J.P. Losman.
YES,"Stocks rallied for a second session Thursday, boosted by falling oil prices and ongoing relief that the presidential election has passed without incident.",The falling oil prices had no positive impact on stocks.
YES,The child molestation case against Michael Jackson is finally ready for a trial that promises to be like no other.,The Jackson trial does not promise to be like no other.
YES,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The August jobless rate did not dip a bit.
YES,"A study of 16,466 female nurses ages 70 to 81 found that even women who walked a leisurely 1.5 hours a week did better on tests of mental function than less active women.",A study of women showed those who did more exercise did not score better on mental agility tests.
YES,"Even as both sides appeared to make conciliatory moves, 11 militants and six army soldiers were killed in a four-hour gun battle in Indian-administered Kashmir.",A gun battle did not kill 17 people in Indian-administered Kashmir.
YES,"The average price of a gallon of gasoline has jumped a nickel over the past two weeks and is back near the record high set earlier this year, according to a national survey released Sunday.",Gas prices did not jump 5 cents a gallon over the last two weeks.
YES,"Yasser Arafat has lapsed into a coma in a French hospital, a senior Palestinian official said Thursday, a day after the Palestinian leader was rushed to intensive care following a sharp deterioration in his health.","Arafat was taken into intensive care where, according to a Palestinian official, he did not lapse into a coma."
YES,Women with the poorest DNA repair capacity had a breast cancer risk three times greater than women with the best DNA repair capacity.,Deficiencies in the ability to repair DNA does not add to cancer development.
YES,Tokyo stocks fell Friday morning as investors cautiously awaited key events including a series of earnings reports from major Japanese companies later in the day.,Tokyo stocks did not slip early Friday.
YES,"Hurricane Katrina slammed this legendary Gulf Coast city Monday, flooding historic streets, damaging buildings such as the iconic Superdome and disrupting nearby oil production, before the weakened storm saturated areas across the South.",Hurricane Katrina did not slam ashore Monday.
YES,"Liquid methane rain pelts Saturn's largest moon, Titan, and feeds rivers, lakes and seas that carve the surface like water does on Earth, images from a space probe show.",No methane rain appears to be supplying rivers and lakes on the surface of Saturn's biggest moon.
YES,"The deal comes two weeks after another Baby Bell, SBC Communications (Research), agreed to pay $16 billion in cash and stock for AT&T (Research).",The deal comes two weeks after a $16 billion deal was not reached between AT&T Corp. and SBC Communications Inc.
YES,"Befitting a young group, new voters have lower incomes, are less educated and are far more likely to be single than other voters.",New voters are not younger.
YES,They also come amid warnings from the Indonesian military that areas of tsunami-battered Aceh province may not be safe for aid workers.,The military has not warned aid workers that some regions are not safe.
YES,"Continuous tremors rocked Mount St. Helens for 90 minutes overnight, geologists reported Monday, and that sustained activity foretells what could be a volcanic eruption within the next few minutes or months.",Tremors did not last 90 minutes Sunday night.
YES,"U.S. officials have been warning for weeks of possible terror attacks against U.S. interests in East Africa, particularly Kenya.","The United States has not warned a number of times of possible terrorist attacks in East Africa, specifically Kenya."
YES,The case of the State of California vs. Michael Jackson is finally ready for a trial that promises to be like no other.,The case against Michael Jackson is not ready for a trial.
YES,Five U.S. soldiers were killed in the capital and insurgents blasted polling stations across the country.,Five US soldiers were not killed.
YES,"Bush's top election lawyer resigned from the campaign Wednesday after it was revealed that he also was advising Veterans for Truth, a group airing TV ads attacking Kerry's war record and anti-war activism.",None of Bush's election lawyers also advises a group running ads against Kerry.
YES,"More than 3,300 gay couples have married in San Francisco since the new mayor, Gavin Newsom, announced he would allow gay nuptials two weeks ago.",Same-sex marriages have never been performed in San Francisco.
YES,"Dan Rather, one of the United States' most respected news anchormen, has announced he is to retire as the lead of CBS main news programme next year.","One of America's news presenters, Dan Rather, has not announced that he is to give up his role as the face of CBS News next year."
YES,"Juan Manuel Alvarez who also apparently tried to slash his wrists and stab himself after the wreck, was brought to court in what appeared to be a hospital smock and had bandages on his wrists.",Alvarez did not wear a hospital patient gown and bandages on his wrists.
YES,"But this kind of technology would eventually replace transistors, just as they replaced vacuum tubes and vacuum tubes replaced electromagnetic relays, said the HP team.",Transistors never replaced vacuum tubes.
YES,Lleyton Hewitt kept his dream of an Australian Open title alive with a four-set win over Andy Roddick in Friday's second semi-final.,Andy Roddick had not lost a four-setter.
YES,"Investors disappointed with lower-than-expected earnings from Amazon.com Inc. and low productivity gains from U.S. workers pushed stocks lower Thursday, ending Wall Street's three-day string of gains.",Stocks did not finish lower Thursday.
YES,Donald Trump's casino empire filed for Chapter 11 bankruptcy protection after months of negotiations with bondholders over restructuring a crushing debt.,Trump's casino operation has not filed for bankruptcy protection due to the accumulation of debt.
YES,"A report from UNAIDS, the Joint United Nations Program on HIV/AIDS, released on Tuesday, shows the number of adults and children living with HIV reached 39.4 million in 2004.",There is not an estimated 39.4 million people living with HIV.
YES,Hollywood studios said Thursday they will file hundreds of lawsuits later this month against individuals who swap pirated copies of movies over the Internet.,Hollywood studios are not to sue people who swap pirated copies of films over the internet.
YES,"Cate Blanchett won the supporting-actress honor Saturday at the Screen Actors Guild Awards for her role as Katharine Hepburn in the Howard Hughes epic ""The Aviator.""","Cate Blanchett did not win supporting actress for her role as Katharine Hepburn in ""The Aviator."""
YES,Joachim Johansson held off a dramatic fightback from defending champion Andy Roddick to reach the semi-finals of the US Open on Thursday night.,Andy Roddick did not lose to Joachim Johansson in a U.S. Open match Thursday.
YES,"In the Gaza Strip, seven Palestinians were killed by Israeli army fire in two separate incidents Saturday, two days after Palestinian militants killed six Israeli civilians at a Gaza cargo crossing.",Six Israelis were not killed in an attack at a Gaza Strip crossing.
YES,"Ukraine's election commission declared the Kremlin-backed prime minister, Viktor Yanukovych, the winner of the country's bitterly disputed presidential election, sharpening a crisis sparked by the opposition candidate's allegations that the vote was fraudulent.",The Election Commission did not announce that Viktor Yanukovich has won Ukraine's presidential election.
