contradiction,type,t,h
NO,none,"That department, a co-manager of shipwrecks with the other two, has also attempted to address its shipwreck responsibilities since the early '70s.",Shipwreck salvaging was not attempted.
NO,none,"The flagship ""Atocha"" and eight other ships loaded with treasures went down, together with the crews of 550.",People were not killed in a collision between ships.
NO,none,The United States has threatened to end U.N. peacekeeping in Bosnia unless American personnel are given immunity from prosecution by the new international war-crimes tribunal.,U.N. peacekeeping forces did not withdraw from Bosnia.
NO,none,"While they did not find any association between cancer rates and consumption of caffeinated coffee or tea, people who regularly drank two or more cups per day of decaffeinated coffee had about half the incidence of rectal cancer as those who never drank decaf.",Tea protects from no diseases.
NO,none,"Even today, within the deepest recesses of our mind, lies a primordial fear that will not allow us to enter the sea without thinking about the possibility of being attacked by a shark.",No shark attacked a human being.
NO,none,"The head of the US Democratic Party has lambasted Mankiw, and suggested that he be outsourced to India.",Jobs were not outsourced to India.
NO,none,"At the recent 13th Annual Medicine Meets Virtual Reality Conference in Long Beach, Calif., researchers discussed the development of new technologies using virtual reality to treat soldiers returning from Iraq with posttraumatic stress disorder and to provide those being deployed with stress inoculation training.",Soldiers are not trained using virtual reality.
NO,none,"The nightmare of human disaster in Rwanda in 1994, after UN Peacekeeping Forces withdrew, shocked us into questioning the whole concept of peacekeeping.",UN peacekeeping forces did not withdraw from Bosnia.
NO,none,Antiemetic drugs are drugs used to combat nausea and vomiting.,Drugs are not used to combat schizophrenia.
NO,none,A head-on collision between a Dhaka bound bus and a motorcycle left three people dead at Gangabardi area on the Faridpur-Khulna Highway on September 26.,People were never killed in a collision between ships.
NO,none,This stimulates the interest of Russian oil companies to the construction of an oil pipeline from Western Siberia to the Pacific Ocean.,An oil pipeline in Siberia was not ruptured.
NO,none,The government thereby perpetuates our continued dependence on fuels that are environmentally and economically unsustainable.,The government took measures to protect the environment.
NO,none,"A study of more than 90,000 Japanese found that people who drank coffee daily or nearly every day had half the liver cancer risk of those who never drank coffee. The protective effect occurred in people who drank one to two cups a day and increased at three to four cups.",Tea does not protect from some diseases.
NO,none,"Mansfield attempted to list every vessel that ever sailed the Lakes before 1899, as well as every shipwreck.",Shipwreck salvaging was not attempted.
NO,none,"When it was revealed that under her government, irregular special forces, possibly including the Hezbollah, were illegally financed to fight the PKK, Ciller reacted by saying she had done no wrong and would do the same again.",A French political party was not illegally financed.
NO,none,Japan and Russia reportedly have agreed to study the possibility of constructing an oil pipeline connecting Angarsk in eastern Siberia to Russia's Pacific Coast port of Nakhodka.,No oil pipeline in Siberia was ruptured.
NO,none,"Zotov said that Russia would agree to the complete withdrawal of its troops from Latvia by August 31, 1994 if Latvia allowed Russia to use the Skrunda radar for the next four years and dismantle it within the following 18 months.",Russian troops did not withdraw from Latvia.
NO,none,The CFAP purchases food stamp coupons from the federal government and distributes them to eligible recipients.,No government purchases food.
NO,none,One of the main treatments used to combat the symptoms of mental illness is medication in various forms.,Drugs are not used to combat schizophrenia.
NO,none,"The ROE printed here were issued by General Jean Cot, then commander of U.N. forces, and were intended to establish the conditions under which the forces could use their weapons as they carry out the U.N. peacekeeping mission in Bosnia.",U.N. peacekeeping forces do not withdraw from Bosnia.
NO,none,Italy's Alberto Tomba pulled out of the 2nd race.,Alberto Tomba never won a ski race.
NO,none,"Exports of cars, which used to be the main product, had by then decreased to 250 million euro.",Cars exported by Japan did not decrease.
NO,none,"According to the ""Current Production Statistics Survey"" of METI, the index of industrial production of Japan in 2002 decreased 1.4% from the previous year to 91.9.",Cars exported by Japan did not decrease.
NO,none,"The Longuet and Leotard Affairs (1996) concern both personal privileges for, and illegal financing of, the Republican Party leaders.",A French political party was not illegally financed.
NO,none,"To prevent avalanche accidents and help people make good decisions in avalanche terrain, the Canadian Avalanche Centre (CAC), avalanche professionals and many volunteers in over 30 Canadian communities, share their expertise to help people keep safe in the mountains during Avalanche Awareness Days presented by Canadian Pacific Railway.",No humans died in an avalanche.
NO,none,With agoraphobia there is widespread avoidance and restriction of activities and places.,Agoraphobia is not a widespread disorder.
NO,none,"The fact that so many children travel a long distance to school had also resulted in a sharp increase in agoraphobia, a fear of open spaces.",Agoraphobia is not a widespread disorder.
NO,none,Some environmentalists also argue that Genetic Modification foods will not alleviate hunger at all.,Genetic Modification technology does not provide a solution to hunger.
NO,none,The collision had taken place in a spot on Andrea Doria that had much passenger accommodation. About fifty people were killed in the collision.,People were not killed in a collision between ships.
NO,none,"On the other hand, export of passenger cars itself will fall mainly because of slowing in the US economy and increased local production by Japanese companies notably in Europe.",Cars exported by Japan did not decrease.
NO,none,"Typically, hardware components located in a shelter are best trained using a virtual environment training system whereas conceptual information is best delivered using more traditional two dimensional training techniques.",Soldiers are not trained using virtual reality.
NO,none,At least 50 animals died in a late December avalanche.,No humans died in an avalanche.
NO,none,Twenty-five-year-old Abdullah Yahia and three other members of the GIA brandished their AK-47 automatic weapons and demanded cooperation from the passengers and flight crew.,The GIA did not hijack an Air France Airbus.
NO,none,Exports to Japan decreased by 24 per cent while imports from Japan increased by 4 per cent.,Cars exported by Japan did not decrease.
NO,none,"A government decision to allow the UK industry to dramatically increase its emissions of CO2, the main greenhouse gas, spells disaster for both business and the environment.",The government did not take measures to reduce pollution.
NO,none,The government took a stand to protect economic interests that it perceived to be in conflict with environmental interests.,The government did not take measures to protect the environment.
NO,none,"The European Union (EU) remained a key partner in the war on terrorism and has moved to strengthen Community legal and administrative capacity, and that of EU member states, to combat terrorism.",A European synagogue was not the target of an act of terrorism or vandalism.
NO,none,"But the government has rarely stopped companies from dumping toxic wastes in its lakes and streams, and clear-cutting or strip-mining its lands.",The government did not take measures to reduce pollution.
NO,none,"Tampa-based Odyssey Marine Exploration, which was poised this spring to start archaeological and treasure recovery work on what it believes to be the more than 300-year-old shipwreck, has put the project on hold after last-minute objections from Andalusia.",Shipwreck salvaging was not attempted.
NO,none,"Aki Kaurismaki's 'Juha', from Finland, screens at the San Francisco International Film Festival.",Aki Kaurismaki did not direct a film.
NO,none,The shrinking cost of using virtual reality for training is another boon.,Soldiers are not trained using virtual reality.
NO,none,"Because Microsoft's near-monopoly status itself magnifies security risk, it is essential that society become less dependent on a single operating system from a single vendor if our critical infrastructure is not to be disrupted in a single blow.",Microsoft does not hold a monopoly power.
NO,none,"Then, as society grew more complex and so the services available, societies outsourced or bought services from neighboring societies and finally as communication grew, from far off societies.",Jobs were not outsourced to India.
NO,none,Microsoft denies that it holds a monopoly.,Microsoft does not hold a monopoly power.
NO,none,"Simply put, our indigenous cultures and arts are vanishing fast and the cultural diversity here is greatly threatened.",Indigenous folk art is not preserved.
NO,none,"In British service centres 80% of the workforce is female and many are part-time, but in India it is split 50:50 male and female.",Jobs were not outsourced to India.
NO,none,Yet there is no evidence that he ever attempted to salvage the Captain Lawrence in the years after the wreck.,Shipwreck salvaging was not attempted.
NO,none,The biodiversity of the rainforest is affected.,Destruction of the rainforest did not affect the world's weather.
NO,none,The average wage gap between men and women varies from 10 to 30% while women in the informal sector earn on average 25% less than men with equal age and education levels.,The gap in political power between the sexes is not very wide.
NO,none,"If anyone tells you that Genetic Modification is going to feed the world, tell them that it is not. To feed the world takes political and financial will - it's not about production and distribution.",Genetic Modification technology will never provide a solution to world hunger.
NO,none,"Until the 1970s, there was also an important gap between the electoral participation of women and men in France.",The gap in political power between the sexes is not very wide.
NO,none,"Here's why I say Microsoft holds no monopoly: monopolies imply exclusivity. More than 80 percent of the world's computers run Microsoft operating systems, mostly Windows 3.x and DOS. But these two operating systems are uniquely interchangeable with competitive offerings.",Microsoft does not hold a monopoly power.
NO,none,"These depletions, which take place over a 50-kilometer squared area, are caused by weather patterns in the upper troposphere.",Depletion of the rainforest has not affected the world's weather.
NO,none,A hunger strike is a method of non-violent resistance in which participants fast as an act of political protest or to achieve a goal such as a policy change.,A hunger strike was not attempted.
NO,none,"Ninety eight people were wounded, two of them seriously. Most of them were wounded in the panic that ensued, Egyptian Health Minister Dr. Mohammed Taj al-Din told Egyptian television.",People were not killed in a collision between ships.
NO,none,"Microsoft dominates software markets, not through the exercise of monopoly power or by leveraging its Windows operating system, but only when it has the best products based on independent reviews and evaluations.",Microsoft does not hold a monopoly power.
NO,none,"A great earthquake occurred at 00:58:50 (UTC), at 6:58 a.m. local time, on Sunday, 26 December 2004. The magnitude 9.0 event was located off the West coast of Northern Sumatra.",An earthquake never occurred on the east coast of Hokkaido.
NO,none,Look at how humans have affected the world's weather and how it in turn has affected humans.,No depletion of the rainforest affected the world's weather.
NO,none,The ruptured pipeline is the third largest oil spill in history.,An oil pipeline in Siberia was not ruptured.
NO,none,Firearms that are classified as either restricted or non-restricted may be exported to the US.,U.S. industry is not exported.
NO,none,"The chances of being attacked by a shark are very small compared to other animal attacks, natural disasters, and ocean-side dangers.",A shark did not attack a human being.
NO,none,"In spite of that, the government's ""economic development first"" priority did not initially recognize the need for preventive measures to halt pollution, which might have slowed economic growth.",The government took no measures to reduce pollution.
NO,none,"The conventional therapy is counseling or medication, but now there is a new tool, one that puts the soldiers through the trauma again, only this time in virtual reality.",No soldiers are trained using virtual reality.
NO,none,The focus is on the attempts of Bruno Manser to bring this destruction to the attention of the western world.,Destruction of the rainforest did not affect the world's weather.
NO,none,Integration in this case means that government agencies should assess the range of environmental problems of concern and then target protective efforts at the problems that seem to be the most serious.,The government took no measures to protect the environment.
NO,none,"Jurgen Schneider, the German property magnate convicted of fraud by a Frankfurt court on Tuesday, said it was not greed but good intentions that motivated him to cheat banks out of billions of marks.",Jurgen Schneider did not go bankrupt.
NO,none,Rainforests have a direct impact on their local weather conditions.,Depletion of the rainforest did not affect the world's weather.
NO,none,When Aki Kaurismaki stood up at the awards ceremony of the Cannes Film Festival on May 26 he joined the honourable fraternity of earlier winners of the Grand Prix du Jury.,Aki Kaurismaki never directed a film.
NO,none,Persons with agoraphobia frequently also have panic disorder and characteristically become anxious if they even think about being trapped in a situation where it might be difficult to leave.,Agoraphobia is a not widespread disorder.
NO,none,"This galaxy was dubbed the Sagittarius Dwarf galaxy (as it, and the core of the Milky Way, lie in the constellation Sagittarius), and until recently, it held the record for the nearest galaxy, at about 70,000 light years away.",The Sagittarius Dwarf galaxy was never the closest galaxy to the Milky Way.
NO,none,"The original Ryan NYP, that Charles Lindbergh crossed the Atlantic with, was flown on 175 different flights racking up a grand total of 489 hours of flight time (the Atlantic crossing in 1927 rolled up 33 1/3 hours of flight time).",Lindbergh did not begin his flight from the Atlantic in 1927.
NO,none,"The Channel Tunnel, thirty-two miles in length, stretches from Cheriton, Kent in England to the town of Sangatte in the Nord Pas-de-Calais region of France. It is the second-longest rail tunnel in the world, the longest being the Seikan Tunnel in Japan.",The Channel Tunnel will never connect France and Japan.
NO,none,"Aachen is a very historic city (with Roman remains, natural hot springs as well as a world-famous cathedral where all German emperors from 900 a.c. to about 1500 a.c. have been crowned) at the Western edge of Germany, located about 5 kilometres from the Netherlands and Belgium.",Aachen will never be located in the Netherlands.
NO,none,"Famous for its wineries and hectic nightlife, Limassol is also the main port-town of Cyprus. Nicosia, or Lefkosia in Greek, is the capital of Cyprus.",Limassol was never the capital of Cyprus.
NO,none,"The world will never forget the epic flight of Charles Lindbergh across the Atlantic from New York to Paris in May 1927, a feat still regarded as one of the greatest in aviation history.",Lindbergh did not begin his flight from Paris in 1927.
NO,none,"Learn to speak like a native in 35 countries throughout Europe, North America, Latin America, South Africa, Japan, North Korea, New Zealand, Australia, Scandinavia, North Korea, and the Caribbean.",North Korea does not border on Scandinavia.
NO,none,"Five apricots contain around the same number of calories as one apple, but they have much more protein, calcium, iron, vitamin K, zinc, vitamin A, and folic acid.",Apricots do not contain vitamin C.
NO,none,"Watching Mosaic from the Bay Area, Silicon Graphics CEO Jim Clark, a veteran of the UNIX standards wars, understood how much money could be won if a company could take control of the standards of this new Internet tool.",Silicon Graphics did not create the internet browser Mosaic.
NO,none,"Vicente Fox is scheduled to meet with Republican presidential nominee George W. Bush, tomorrow.",Vicente Fox was never the Republican presidential nominee.
NO,none,"It is totally idiotic to call Christo and Jeanne-Claude the ""wrapping artists."" So many works were not wrapping, for instance the Iron Curtain by Christo, 1962.",The Iron Curtain was not wrapped by Christo.
NO,none,There are approximately 3.7 million European Citizens with intellectual disability.,There are not approximately 3.7 million European Citizens.
NO,none,"The WEU has its origins in the Brussels Treaty of Economic, Social and Cultural Collaboration and Collective Self-Defence of 1948, signed by Belgium, France, Luxembourg, the Netherlands and the United Kingdom.","The WEU is not the Brussels Treaty of Economic, Social and Cultural Collaboration and Collective Self-Defence."
NO,none,Fox's landmark animated television series 'The Simpsons' first appeared as 30-second spots on 'The Tracey Ullman Show' and has run as a primetime sitcom since 1989.,'The Simpsons' did not first appear on television in 1989.
NO,none,"Since Concorde's first flight in 1969, it was recognized as the safest airplane in the history of aviation. And in spite of this dramatic crash on July 25, it still remains the safest way to fly.",Concorde's first crash was not in 1969.
NO,none,"Amelia, Emerson, their son Ramses and daughter-in-law Nefret and their entourage of family retainers, dependents and cats, arrive in Cairo in 1916 (having dodged the U-boats on the way) en route to Luxor to begin a new excavation.",Nefret was never married to Emerson.
NO,none,"The German Question, so it was said, was open as long as the Brandenburg Gate was closed.",The Brandenburg Gate is not in Germany.
NO,none,"Just two days before the crash of July 25, 2000, cracks were found in the wings of eleven of the 14 jets that make up the Concorde fleet.",The Concorde's first crash was not in 2000.
NO,none,"Only three buildings were wrapped by Christo: The Kunsthalle Berne, 1968, The Museum of Contemporary Art, Chicago, 1969 and The Wrapped Reichstag, Berlin, 1995, which is the third and last wrapped building -- it was initiated in 1961 first and then again in 1971. In 1971 the Valley Curtain was already well underway, and was not a wrapping.",The Valley Curtain was not wrapped by Christo.
NO,none,"Until the construction of the Chrysler Building in 1930 by architect William Van Allen, the Eiffel Tower was the tallest building in the world.",The Eiffel Tower was not built in 1930.
NO,none,"Jackson dangled his son from a Berlin hotel window in 2002, outraging many of his staunchest fans. Now Debbie Rowe is fighting for custody of her two children.",Michael Jackson and Debbie Row did not divorce in 2002.
NO,none,"Eurotunnel has signalled a revolution in cross-Channel travel, unveiling a raft of new initiatives to make life easier, faster, and cheaper for motorists crossing the Channel this summer. Fares based on one-way crossings from just 49 Euro for car and passengers.",The passengers that cross the Eurotunnel each year are never just 49.
NO,none,Laurie Pace has qualified for the Sydney 2000 Olympic Games thanks to one of the wildcards which were distributed world-wide. She is aiming at improving over the 16th place in Atlanta.,The Olympic Games did not take place in Atlanta in 2000.
NO,none,"Those producer organizations that are neither FLO certified nor IFAT members, are dealt with according to the EFTA monitoring system (EFTA = European Fair Trade Association) in cooperation between Gepa and the other EFTA members. All these systems are based on the principles of Fair Trade defined by the international Fair Trade network, FINE.",EFTA has never been a monitoring system.
NO,none,"Pythagoras was born in Ionia on the island of Samos, and eventually settled in Crotone, a Dorian Greek colony in southern Italy, in 529 B.C.E. There he lectured in philosophy and mathematics.",Pythagoras was not born in Crotone.
NO,none,"The Eiffel Tower was built in the period 1887-1889, to celebrate the 100th anniversary of the French Revolution.",The Eiffel Tower was not built during the French Revolution.
NO,none,"On July 8, 1998, United Airlines expresses opposition to the two-airport concept, a train link between John Wayne and El Toro and any attempt to limit John Wayne to short haul markets.",John Wayne airport is not in El Toro.
NO,none,Janez Drnovek (LDS centre-left Liberal Democracy of Slovenia) became Prime Minister at the head of a four-party coalition formed after the December 1992 elections. Milan Kucan was re-elected President in 1992 and 1997 and Drnovek as Prime Minister again in 1997.,Milan Kucan became Prime Minister of Slovenia in 1992.
NO,none,"Six ships sailed from Nicaragua's Puerto Cabezas on April 14th, to begin their Bay of Pigs Invasion and to take over the Cuban army and government.",The Bay of Pigs invasion did not take place on April 14th.
NO,none,"FTAA is a huge extension of the principles behind NAFTA, aimed at increasing international government, not strengthening the United States.",NAFTA is not a huge extension of FTAA.
NO,none,Nationals of the Republic of Cyprus living there are nonetheless fully European citizens and were entitled to vote at European Parliament elections in 2004 (though only a few hundred registered).,There are not only a few hundred European citizens.
NO,none,Blondlot was trying to polarize X-rays when he claimed to have discovered this new form of radiation.,Blondlot never discovered x-rays.
NO,none,"Soldiers looking for the men, typically those who are considered the front line of the EZLN, often move into towns under the guise of humanitarian aid workers.",The EZLN will never be a humanitarian aid group.
NO,none,"Crater Lake is the deepest lake in the United States, the second deepest in the Western Hemisphere, and the seventh deepest in the world, dropping downward to 1,932 feet just southeast of Merriam Cone.",Crater Lake will never be the deepest lake in the world.
NO,none,"The Hebron District is located in the southernmost portion of the West Bank, 36 km south of Jerusalem City.",Hebron is not located in Jerusalem City.
NO,none,The MIT Press Bookstore stocks most of the books and journals published by The MIT Press as well as the best of other publishers' books in related fields.,The MIT is not a bookstore.
NO,none,"In a 1982 interview with Newsweek, Kennedy's personal secretary, Evelyn Lincoln, stated that Kennedy decided to install a taping system following the failure of the Bay of Pigs invasion.",The Bay of Pigs invasion did not take place in 1982.
NO,none,"All that changed in 1922, when Tutankhamun's tomb was discovered by Egyptologist Howard Carter on behalf of his patron Lord Carnarvon.",Tutankhamun's Tomb was not unearthed by Howard Carter and Lord Carnarvon.
NO,none,"But for all its ominous rhetoric, and a board of directors that looks as if it could become the first cabinet of the United States of Earth (including several former senior World Bank and IMF directors; Jacques Delors, the Frenchman who was the officious president of the European Commission from 1985 to 1995; population control experts and, of course, Maurice Strong, the former advisor to Lester Pearson and Pierre Trudeau, who was the first president of Petro-Canada), what the CGG and most in civil society are seeking is a realization of the high-modern, one-world, one-family-of-Man dream.",Maurice Strong was not President of the European Commission from 1985 to 1995.
NO,none,"""Hamlet"" (1969) starring Nicol Williamson (not to mention Anthony Hopkins) and directed by Tony Richardson , was a low-budget film that was shot while the actors were simultaneously doing a theatre version.","Nicol Williamson never directed ""Hamlet""."
NO,none,"The most ardent advocates of this panacea are US secretary of state Colin Powell, European Union foreign affairs executive Javier Solana, the Israeli foreign minister Shimon Peres, Arafat's close financial adviser Muhammed Rashid and Ariel Sharon's new chef de bureau Dov Weisglass.",Javier Solana will never be the Israeli foreign minister.
NO,none,"Henry might be the world record holder and Olympic gold medalist, but Coughlin is America's fastest swimmer ever in this event and has showed time and time again that she's not afraid to step up and race the best in the world.",Coughlin is not the fastest swimmer in the world.
NO,none,"Most of the open tombs in the Valley of the Kings are located in the East Valley, and this is where most tourists can be found.",The Valley of the Kings is not located in the East Valley.
NO,none,"In the mid-1970s, scientists first noticed that chlorine produced in the atmosphere from human-made CFCs and similar chemicals had the potential to destroy ozone and damage the ozone layer.",The ozone hole was not first noticed in the mid-1970s.
NO,none,"Worn by all popes in the last 800 years, the Fisherman's Ring is a gold ring bearing an image of St. Peter casting his net from a boat, encircled by the current pope's name.",The pope's name is not Peter.
NO,none,"With over 250 Shakespeare movies produced, Shakespeare film adaptations such as Baz Luhrman's ""Romeo and Juliet"", the Shakespeare inspired ""Shakespeare in Love"" and the more recent ""Hamlet 2000"", prove that Shakespeare film adaptations and movies retain their enduring appeal.","""Hamlet"" was not directed by Baz Luhrman."
NO,none,"This installation of the two objects took place in Znojile, a mountain village with less than 15 inhabitants in Slovenia.",Slovenia does not have 15 inhabitants.
NO,none,"X-rays and radioactivity had been discovered just a decade earlier, and some years before that Hertz had discovered radio waves.",Hertz did not discover X-rays.
NO,none,"Recognized as the eighth deepest lake in the world (and second deepest in the United States), Lake Tahoe measures 1,645 feet at its deepest recorded depth, and averages just under 1,000 feet.",Lake Tahoe will never be the deepest lake in the world.
NO,none,"This is good news for Gaelic translators, as the EU will have to churn out official documents in this language, in addition to the 20 other official EU languages.",There are not 20 official EU languages.
NO,none,The provisions of the Treaty were complemented by a Stability and growth pact (adopted by the Amsterdam European Council in June 1997) which maintains budgetary discipline even after the beginning of the third stage by requiring Member States participating in monetary union to draw up and submit stability programmes to maintain medium-term budgetary equilibrium.,The European Monetary Union did not start in June 1997.
NO,none,"Just what is the cause of cancer? The cause of cancer is not bacteria, the cause of cancer is not a virus, and the cause of cancer is not a fungus.",No fungi cause cancers.
NO,none,Most linguistically diverse countries only award the official status to one or two core languages: The EU distinguishes between procedural and official languages.,There are not two official EU languages.
NO,none,"One of the most important archeological finds of all time, King Tutankhamun's tomb was discovered in 1923 by Howard Carter, a British Egyptologist, who was financed in his expedition by Lord Carnarvon himself, an ailing gentleman keen on Egyptology.",Tutankhamun's Tomb was not unearthed by Howard Carter and Lord Carnarvon.
NO,none,"Story Teller, an installation by Tom Jennings, is an experimental narrative about British mathematician/code breaker Alan Turing, told using obsolete media -- perforated paper tape, teletype, phoneme-speech, glowing phosphors and ink-on-paper.",Tom Jennings is not a mathematician.
NO,none,"Even before Mosaic, the NCSA had created, back in 1985, software ""clients"" for PCS and Macs, called Telnet, to allow people to access and use computers connected to the Internet as if the user were locally based.",Telnet created no internet browser Mosaic.
NO,none,"The next year East Germany helped found the Warsaw Pact, the Soviet answer to the North Atlantic Treaty Organization (NATO), and in 1956 East Germany formed an army.",East Germany did not help found the North Atlantic Treaty Organization (NATO).
NO,none,"For example, Nelson Mandela was considered a ""terrorist"" by the US government during ""apartheid"" South Africa. Did the US ""corporament"" support ""apartheid"" South Africa?",Nelson Mandela is not a terrorist.
NO,none,"Bush was the managing general partner of the Texas Rangers baseball team from 1989-1994. In 1994 he was elected governor of Texas, and he was reelected in 1998.",Bush was never elected governor of Texas in 1989.
NO,none,SpleEn is a software application for the Macintosh computer developed using Think C and DSP Designer.,Think C did not develop the Macintosh computer.
NO,none,"In 1831, Ibrahim Pasha of Egypt took over Hebron until 1840.",Hebron is not located in Egypt.
NO,none,She joined the EGTA (European Group of Television Advertising) for a short period and has been working for Eurocare since March 2002.,Eurocare is not a group of television advertising.
NO,none,"This (revised) Convention shall enter into force six months after the date on which four States, including at least three member States of the Council of Europe, have expressed their consent to be bound by the (revised) Convention in accordance with the provisions of the preceding paragraphs.",The Council of Europe is never made up by 3 member states.
NO,none,"Whenever job opportunities with EU institutions arise, these are open to EU citizens who can speak 2 (or more) official EU languages.",There are not 2 official EU languages.
NO,none,"In the Late 1970's Ruiz came into contact with a group of mostly young Marxists, fleeing security forces. These young Marxists are the group that effetely became the armed wing of the EZLN.",The EZLN will never be a security force.
NO,none,At the beginning of 1998 the member states of the European Union will decide whether or not to go ahead with their monetary union and determine which countries qualify as members.,1998 did not mark the beginning of the European Monetary Union.
NO,none,"What will Finland say if a seminar on the subject ""Between Finland and Sweden: Whom the Aland Islands Belong to?"" took place in the State Duma?",The Aland Islands do not belong to Sweden.
NO,none,"A report of a government commission designated by the former President Ernesto Samper to negotiate with the guerrillas, states in the last days of July, the FARC mounted a military offensive against the army that saw more than 360 killed.",The FARC is not a government commission designated to negotiate with guerrillas.
NO,none,"In 1900, Paul Villard discovered gamma rays, which were thought to be a much more energetic form of X-rays (well, they are, but at that time X-rays had not been shown to be a form of light).",Paul Villard did not discover x-rays.
NO,none,"In addition, Hebron is bordered to the east by the large settlement of Kiryat Arba, whose population now reaches 6,000.",Hebron is not located in Kiryat Arba.
NO,none,"Due to these effects, a person who has consumed a high amount of alcohol in a short amount of time will undoubtedly have difficulty driving. Each year, more than 10,000 people ages 16 - 25 die as the result of alcohol use and half of those deaths result from crashes caused by alcohol-impaired driving.",Not half of road-traffic deaths are caused by alcohol.
NO,none,"Just think that the most beautiful goal in the history of football was scored by Maradona in the 1986 World Cup in Mexico against England, when he dribbled past 6 English players and the goalkeeper scoring an amazing goal.",Diego Armando Maradona is not an English player.
NO,none,The Eiffel Tower was built in 1889 for the Universal Exposition as a monument to the scientific achievements of the 18th century.,The Eiffel Tower was not built in the 18th century.
NO,none,"Its members have been devoted Congressites who, as members of the ANC, have propagated and defended the policies of our movement, including the Freedom Charter, without hesitation.",ANC is not a movement.
NO,none,"Many Filipinos continue to primarily speak their indigenous language, rather than Filipino.",The primary language of the Philippines is not Filipino.
NO,none,The Japanese Emperor Akihito and Empress Michiko who are in the Czech Republic on a four day state visit on Monday met with the Czech President and First Lady.,Akihito and Michiko will never be the Czech President and First Lady.
NO,none,"The creation of the European Monetary Institute (EMI) on January 1st, 1994 marked the beginning of the second stage of Economic and Monetary Union.","The beginning of the European Monetary Union was not on January 1st, 1994."
NO,none,"European Footballer of the Year, Andriy Shevchenko, was awarded with the Golden Ball. The award is given annually to the player considered to have performed the best over the previous year. Until 1995, a player also had to be of European nationality to be eligible.",Andriy Shevchenko did not get the Golden Ball in 1995.
NO,none,"The flights begin at San Diego's Lindbergh Field in April, 2002 and follow the Lone Eagle's 1927 flight plan to St. Louis, New York, and Paris.",Lindbergh did not begin his flight from St. Louis in 1927.
NO,none,"The rock, which was returned from the Moon in April 1972 by Apollo 16 astronauts Young and Charlie Duke, remains NASA property but is on extended loan for display at the Burke Baker Planetarium Theater located at the museum.",16 astronauts have never been on the moon.
NO,none,"Denmark was one of three countries, along with Sweden and Britain, that opted not to join the euro currency system in its initial phase when it was launched in January 1999.",Sweden did not adopt the single European currency in 1999.
NO,none,"""With Leukemia"" is a website bringing parents together world-wide to share experiences on caring for children who have leukemia.",Leukemia is not a website.
NO,none,"Denzel Washington, who previously had won Best Supporting Actor in 1989 for his role in the movie ""Glory,"" won Best Actor this year for his role as a rogue cop in the movie ""Training Day.""","""Glory"" did not win the Academy Award for best movie in 1989."
NO,none,"World governments first banned the ozone-destroying refrigerants known as CFCs in 1987. But CFCs take up to 100 years to degrade, which will retard the pace of ozone hole repair for years to come.",The ozone hole was not first noticed in 1987.
NO,none,"Kings Valley Collies is a breeding and training facility located on a 160-acre tree farm in the beautiful foothills of the Coast Range, northwest of Corvallis, Oregon.",The Valley of the Kings is not in Oregon.
NO,none,CPT urges individuals and organizations to pressure the Israeli government and international community to alleviate the oppression of the Palestinian residents imposed by this closure of the Old City of Hebron.,Hebron is not located in Israel.
NO,none,"The European Council is made up of the Heads of State or Government of the fifteen Member States of the EU, the Foreign Ministers and the President of the Commission. It must not be confused with the Council of Europe, which is an international organisation, nor with the Council of the European Union.",There are not 15 Member States in the Council of Europe.
NO,none,"Early last month, reform candidate Vicente Fox stunned Mexico and the world by winning the presidency of his country. Promising economic and political change, the former Coca-Cola executive and his National Action Party ousted the Institutional Revolutionary Party, or PRI, that had ruled Mexico for 71 years.",Vicente Fox was never a member of PRI.
NO,none,"Other British winners included Robbie Williams, James Blunt, the animated group Gorillaz and dance duo The Chemical Brothers.",Robbie Williams did not sing with the animated group Gorillaz.
NO,none,"Jobs has convinced the Apple board to second the computer company's award-winning design team to work for IKEA, and in a unique licensing agreement, the results will bear the Apple logo.",Ikea is not a computer company.
NO,none,De Klerk was Deputy President of South Africa during the presidency of Nelson Mandela until 1996.,Nelson Mandela was never the Deputy President of South Africa.
NO,none,The Brandenburg Gate plays a highly symbolic role in the German history.,The Brandenburg Gate is not in Germany.
NO,none,"During the attack of the Bay of Pigs, the 1,300 men were let down by U.S. forces because President Kennedy called off the backup planes that were planned to help in the invasion.",The Bay of Pigs invasion did not take place in 1300.
NO,none,"Delaware Cadillac was founded in 1916, with its original location at the current site of MBNA world headquarters.",Cadillac was not founded in 1916.
NO,none,"If they could control the US, their new and improved Tower of Babel would become a reality.",The US did not build the Tower of Babel.
NO,none,"Diego Armando Maradona is the newest stadium of Buenos Aires city, built at La Paternal neighbourhood, named after football star Diego Maradona , home to Argentinos Juniors football (soccer) team.",Diego Armando Maradona will never be the Juniors football team.
NO,none,"The Apollo 8 spacecraft has taken its crew of three astronauts safely into orbit around the Moon, the first manned space mission to achieve the feat.",Eight astronauts have not been on the moon.
NO,none,"We are located on the MIT campus, and offer quality retail bookselling to both the MIT community and the public at large.",MIT is not a retail bookshop.
NO,none,"Laboring side by side on the outer hull of the station's crew quarters, Vladimir Dezhurov and Mikhail Turin mounted science packages and two Eastman Kodak Co. placards while U.S. astronaut Frank Culbertson looked on from inside the complex.",Vladimir Dezhurov is not a U.S. astronaut.
